,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny
-theft","Motor 
vehicle 
theft",Arson1
,Alameda,725.0,3.0,26.0,218.0,478.0,"2,192.0",650.0,991.0,551.0,19.0
,Butte,106.0,2.0,13.0,23.0,68.0,"1,310.0",560.0,744.0,6.0,3.0
,Contra Costa,456.0,13.0,30.0,109.0,304.0,"2,475.0","1,033.0","1,423.0",19.0,18.0
,El Dorado,192.0,2.0,21.0,21.0,148.0,"2,273.0","1,020.0","1,241.0",12.0,10.0
,Fresno,740.0,6.0,23.0,125.0,586.0,"4,781.0","1,618.0","2,331.0",832.0,
,Imperial,110.0,0.0,4.0,6.0,100.0,676.0,255.0,399.0,22.0,7.0
,Kern,"1,822.0",22.0,108.0,358.0,"1,334.0","10,198.0","3,301.0","5,378.0","1,519.0",282.0
,Kings,137.0,2.0,13.0,15.0,107.0,683.0,242.0,386.0,55.0,7.0
,Los Angeles,"5,595.0",88.0,165.0,"1,484.0","3,858.0","16,010.0","4,624.0","7,730.0","3,656.0",222.0
,Madera,311.0,4.0,10.0,20.0,277.0,"1,634.0",836.0,778.0,20.0,11.0
,Marin,122.0,0.0,8.0,22.0,92.0,739.0,263.0,473.0,3.0,5.0
,Merced,459.0,2.0,22.0,41.0,394.0,"2,319.0",767.0,"1,538.0",14.0,6.0
,Monterey,197.0,8.0,19.0,44.0,126.0,"1,290.0",504.0,781.0,5.0,18.0
,Napa,52.0,2.0,2.0,1.0,47.0,371.0,125.0,243.0,3.0,4.0
,Orange,251.0,1.0,11.0,42.0,197.0,"1,301.0",277.0,935.0,89.0,3.0
,Placer,301.0,4.0,25.0,28.0,244.0,"1,946.0",622.0,"1,293.0",31.0,3.0
,Riverside,903.0,13.0,47.0,188.0,655.0,"8,872.0","2,673.0","4,884.0","1,315.0",18.0
,Sacramento,"2,719.0",33.0,144.0,959.0,"1,583.0","11,797.0","4,150.0","7,539.0",108.0,77.0
,San Benito,38.0,1.0,6.0,0.0,31.0,268.0,93.0,161.0,14.0,1.0
,San Bernardino,"1,081.0",18.0,57.0,178.0,828.0,"6,207.0","2,202.0","2,879.0","1,126.0",94.0
,San Diego,"1,397.0",18.0,84.0,218.0,"1,077.0","5,851.0","1,725.0","3,202.0",924.0,27.0
,San Joaquin,820.0,23.0,20.0,164.0,613.0,"4,767.0","1,802.0","2,831.0",134.0,22.0
,San Luis Obispo,208.0,1.0,26.0,13.0,168.0,"1,356.0",481.0,872.0,3.0,3.0
,San Mateo,219.0,0.0,18.0,32.0,169.0,"1,976.0",312.0,"1,464.0",200.0,9.0
,Santa Barbara,255.0,1.0,34.0,30.0,190.0,"1,539.0",487.0,"1,045.0",7.0,12.0
,Santa Clara,186.0,4.0,30.0,39.0,113.0,"1,487.0",316.0,"1,025.0",146.0,2.0
,Santa Cruz,362.0,3.0,34.0,36.0,289.0,"2,301.0",913.0,"1,382.0",6.0,10.0
,Shasta,524.0,2.0,32.0,22.0,468.0,970.0,512.0,430.0,28.0,1.0
,Solano,95.0,3.0,4.0,18.0,70.0,423.0,195.0,207.0,21.0,8.0
,Sonoma,511.0,5.0,36.0,48.0,422.0,"1,306.0",490.0,802.0,14.0,13.0
,Stanislaus,323.0,16.0,15.0,77.0,215.0,"2,404.0","1,135.0","1,222.0",47.0,61.0
,Sutter,132.0,3.0,8.0,4.0,117.0,847.0,210.0,589.0,48.0,6.0
,Tulare2,517.0,20.0,31.0,68.0,398.0,,"1,200.0","2,191.0",,31.0
,Ventura,155.0,2.0,10.0,23.0,120.0,"1,124.0",273.0,795.0,56.0,17.0
,Yolo,82.0,0.0,9.0,4.0,69.0,408.0,125.0,273.0,10.0,7.0
,Yuba,230.0,3.0,18.0,29.0,180.0,"1,323.0",457.0,858.0,8.0,5.0
,Alpine,7.0,0.0,0.0,0.0,7.0,105.0,20.0,84.0,1.0,0.0
,Amador,54.0,1.0,5.0,4.0,44.0,598.0,187.0,401.0,10.0,4.0
,Calaveras,102.0,1.0,14.0,8.0,79.0,974.0,314.0,655.0,5.0,0.0
,Colusa,28.0,1.0,2.0,1.0,24.0,281.0,91.0,186.0,4.0,2.0
,Del Norte,99.0,2.0,18.0,7.0,72.0,427.0,242.0,180.0,5.0,6.0
,Glenn,11.0,2.0,0.0,2.0,7.0,169.0,61.0,105.0,3.0,2.0
,Humboldt,203.0,2.0,21.0,46.0,134.0,"1,109.0",436.0,646.0,27.0,14.0
,Inyo,52.0,1.0,7.0,3.0,41.0,141.0,54.0,85.0,2.0,5.0
,Lake,169.0,1.0,18.0,20.0,130.0,704.0,315.0,383.0,6.0,10.0
,Lassen,39.0,1.0,5.0,2.0,31.0,143.0,56.0,86.0,1.0,3.0
,Mariposa,55.0,0.0,5.0,1.0,49.0,342.0,128.0,214.0,0.0,1.0
,Mendocino,295.0,7.0,13.0,23.0,252.0,544.0,247.0,297.0,0.0,10.0
,Modoc,24.0,0.0,7.0,1.0,16.0,93.0,36.0,53.0,4.0,3.0
,Mono,11.0,0.0,1.0,0.0,10.0,67.0,21.0,46.0,0.0,0.0
,Nevada,166.0,2.0,10.0,6.0,148.0,533.0,226.0,301.0,6.0,1.0
,Plumas,104.0,1.0,14.0,3.0,86.0,356.0,124.0,231.0,1.0,7.0
,Sierra,5.0,0.0,0.0,0.0,5.0,55.0,17.0,38.0,0.0,2.0
,Siskiyou,71.0,2.0,10.0,4.0,55.0,228.0,102.0,124.0,2.0,1.0
,Tehama,184.0,1.0,5.0,8.0,170.0,316.0,134.0,182.0,0.0,6.0
,Trinity,34.0,3.0,5.0,1.0,25.0,100.0,63.0,37.0,0.0,0.0
,Tuolumne,75.0,1.0,13.0,13.0,48.0,731.0,354.0,371.0,6.0,18.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
