,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)1","Rape
(legacy definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,Alameda,648.0,5.0,,21.0,194.0,428.0,"2,409.0",659.0,947.0,803.0,21.0
,Butte,96.0,7.0,,10.0,17.0,62.0,"1,210.0",515.0,686.0,9.0,0.0
,Contra Costa,429.0,6.0,,29.0,118.0,276.0,"2,138.0",838.0,"1,288.0",12.0,18.0
,El Dorado,210.0,2.0,,26.0,16.0,166.0,"2,066.0",747.0,"1,269.0",50.0,4.0
,Fresno,849.0,11.0,,8.0,93.0,737.0,"4,212.0","1,358.0","2,133.0",721.0,142.0
,Imperial,199.0,1.0,,14.0,11.0,173.0,714.0,260.0,433.0,21.0,8.0
,Kern,"2,157.0",23.0,,92.0,409.0,"1,633.0","10,641.0","3,859.0","5,044.0","1,738.0",254.0
,Kings,171.0,4.0,,12.0,16.0,139.0,593.0,235.0,303.0,55.0,9.0
,Los Angeles,"5,323.0",72.0,,171.0,"1,357.0","3,723.0","16,004.0","4,363.0","8,095.0","3,546.0",157.0
,Madera,367.0,6.0,,28.0,18.0,315.0,"1,365.0",666.0,675.0,24.0,4.0
,Marin,99.0,2.0,,7.0,12.0,78.0,710.0,269.0,440.0,1.0,3.0
,Merced,545.0,17.0,,15.0,36.0,477.0,"1,833.0",687.0,"1,116.0",30.0,3.0
,Monterey,205.0,12.0,,11.0,46.0,136.0,"1,412.0",482.0,906.0,24.0,6.0
,Napa,39.0,0.0,,5.0,4.0,30.0,372.0,140.0,229.0,3.0,3.0
,Orange,241.0,1.0,,9.0,23.0,208.0,"1,241.0",261.0,877.0,103.0,6.0
,Placer,262.0,1.0,,28.0,13.0,220.0,"1,763.0",640.0,"1,083.0",40.0,8.0
,Riverside,692.0,20.0,,30.0,142.0,500.0,"7,786.0","2,405.0","4,192.0","1,189.0",25.0
,Sacramento,"3,033.0",30.0,,158.0,"1,027.0","1,818.0","12,011.0","4,211.0","7,683.0",117.0,65.0
,San Benito,50.0,0.0,,7.0,5.0,38.0,205.0,61.0,139.0,5.0,0.0
