County,Violent Crime
Alameda,589
Butte,183
Contra Costa,347
El Dorado,291
Fresno,"1,177"
Imperial,161
Kern,"2,403"
Kings,157
Los Angeles,"6,124"
Madera,434
Marin,72
Merced,542
Monterey,286
Napa,61
Orange,229
Placer,261
Riverside,841
Sacramento,"2,797"
San Benito,39
San Bernardino,924
San Diego,"1,422"
San Joaquin,793
San Luis Obispo,356
San Mateo,298
Santa Barbara,265
Santa Clara,316
Santa Cruz,285
Shasta,519
Solano,92
Sonoma,583
Stanislaus,470
Sutter,88
Tulare3,350
Ventura,171
Yolo,56
Yuba,210
Alpine,6
Amador,53
Calaveras,169
Colusa,31
Del Norte,115
Glenn,34
Humboldt,265
Inyo,85
Lake,179
Lassen,43
Mariposa,80
Mendocino,346
Modoc,19
Mono,16
Nevada,80
Plumas,120
Sierra,14
Siskiyou,52
Tehama,163
Trinity,65
Tuolumne,159
