,County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
,Adams County,523,11,94,,93,325,"2,954",437,"1,582",935,33
,Arapahoe County,269,4,74,,46,145,"1,381",269,904,208,25
,Boulder County,83,1,20,,6,56,586,161,388,37,10
,Clear Creek County,15,0,1,,0,14,64,10,48,6,18
,Douglas County,326,2,133,,7,184,"1,939",380,"1,366",193,29
,El Paso County,390,7,80,,25,278,"2,186",402,"1,526",258,30
,Gilpin County,4,0,1,,0,3,47,12,32,3,1
,Jefferson County,224,2,66,,15,141,"2,889",454,"2,167",268,13
,Larimer County,171,2,26,,10,133,930,208,625,97,7
,Mesa County,180,5,51,,6,118,"1,258",237,924,97,8
,Park County,16,1,2,,0,13,67,28,29,10,2
,Pueblo County,35,2,1,,6,26,"1,309",291,858,160,3
,Teller County,6,0,1,,0,5,90,23,59,8,1
,Weld County,102,0,12,,6,84,847,259,472,116,4
,Alamosa County,6,0,2,,0,4,73,9,59,5,0
,Archuleta County,19,0,3,,1,15,106,32,71,3,0
,Baca County,1,0,0,,0,1,1,0,1,0,0
,Bent County,7,0,2,,1,4,139,63,71,5,1
,Chaffee County,0,0,0,,0,0,70,12,52,6,0
,Cheyenne County,1,0,0,,0,1,3,2,1,0,0
,Conejos County,6,0,1,,0,5,62,59,1,2,0
,Crowley County,5,1,1,,0,3,58,31,20,7,0
,Custer County,7,0,1,,0,6,99,22,70,7,5
,Delta County,16,0,13,,1,2,149,49,79,21,0
,Dolores County,5,0,0,,1,4,17,7,8,2,0
,Eagle County,33,0,14,,0,19,,37,,15,3
,Fremont County,28,0,1,,3,24,208,60,123,25,2
,Garfield County,39,1,15,,2,21,231,57,156,18,3
,Gunnison County,3,0,0,,1,2,25,1,23,1,0
,Hinsdale County,4,0,1,,0,3,6,2,4,0,0
,Jackson County,0,0,0,,0,0,5,0,4,1,0
,Kit Carson County,5,0,0,,0,5,36,11,21,4,0
,La Plata County,49,0,22,,1,26,265,75,164,26,3
,Lake County,6,0,3,,0,3,41,5,34,2,1
,Lincoln County,1,0,0,,0,1,23,13,7,3,0
,Logan County,15,0,11,,0,4,125,39,58,28,0
,Moffat County,3,0,1,,0,2,45,10,31,4,1
,Montezuma County,21,0,1,,2,18,174,47,117,10,1
,Montrose County,12,0,6,,1,5,229,93,118,18,2
,Morgan County,10,0,0,,1,9,116,35,71,10,4
,Otero County,8,0,0,,0,8,78,34,36,8,0
,Phillips County,3,0,0,,0,3,4,1,3,0,0
,Pitkin County,5,0,3,,0,2,55,6,41,8,2
,Prowers County,3,0,1,,0,2,23,6,12,5,0
,Rio Blanco County,0,0,0,,0,0,25,2,22,1,0
,Rio Grande County,2,0,0,,0,2,12,6,4,2,0
,Routt County,7,0,6,,0,1,37,6,28,3,1
,Saguache County,4,0,0,,0,4,25,7,14,4,0
,San Juan County,0,0,0,,0,0,10,1,8,1,0
,San Miguel County,7,0,1,,0,6,3,2,1,0,0
,Summit County,30,0,20,,2,8,241,49,183,9,2
,Washington County,7,0,5,,0,2,88,24,61,3,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
