County,Violent crime,"Murder and nonnegligent manslaughter","Forcible rape",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
Barry,40,1,13,1,25,397,128,249,20,6
Bay,46,0,13,5,28,680,165,496,19,0
Berrien,116,0,19,13,84,668,192,449,27,6
Calhoun,73,0,3,7,63,567,195,344,28,6
Cass,27,1,11,1,14,503,153,337,13,4
Clinton,17,3,3,4,7,208,90,104,14,0
Eaton,84,3,21,19,41,"1,310",305,945,60,4
Genesee,30,0,12,6,12,562,152,399,11,0
Ingham,94,1,14,11,68,713,229,451,33,4
Ionia,31,1,11,1,18,325,122,187,16,3
Jackson,134,2,9,4,119,625,190,403,32,4
Kalamazoo,128,1,26,13,88,"1,589",401,"1,120",68,11
Lapeer,46,1,6,0,39,466,140,310,16,0
Livingston,43,0,9,7,27,703,156,520,27,3
Macomb,305,1,33,48,223,"2,325",522,"1,672",131,16
Monroe,188,2,40,30,116,"2,303",706,"1,470",127,31
Muskegon,34,0,7,2,25,768,122,628,18,3
Oakland1,673,10,64,127,472,"4,622","1,382","3,005",235,81
Ottawa,263,2,86,16,159,"3,332",697,"2,542",93,24
Saginaw,78,1,9,9,59,563,182,349,32,4
St. Clair,137,1,17,16,103,"1,647",497,"1,056",94,22
Van Buren,106,2,30,5,69,603,209,361,33,6
Washtenaw,430,5,83,73,269,"2,147",812,"1,154",181,18
Wayne,10,0,0,0,10,16,1,14,1,0
Alcona,9,0,1,0,8,176,55,119,2,1
Allegany,108,1,28,3,76,850,239,560,51,9
Alpena,4,0,2,0,2,71,10,61,0,0
Antrim,18,0,4,3,11,301,91,205,5,0
Arenac,19,0,5,1,13,104,55,42,7,2
Baraga,0,0,0,0,0,25,7,17,1,0
Branch,6,0,1,1,4,174,23,147,4,1
Charlevoix,25,1,12,0,12,147,38,108,1,1
Cheboygan,8,1,2,0,5,100,33,65,2,2
Chippewa,5,0,1,0,4,120,45,68,7,0
Clare,33,1,9,3,20,367,202,162,3,1
Crawford,27,1,4,0,22,200,84,109,7,1
Delta,3,0,0,0,3,63,12,45,6,0
Emmet,10,0,2,1,7,230,42,184,4,0
Gladwin,18,0,2,0,16,135,53,79,3,3
Grand Traverse,92,0,26,3,63,739,128,594,17,4
Gratiot,9,0,3,1,5,182,46,127,9,0
Hillsdale,25,0,2,1,22,196,60,130,6,1
Houghton,5,0,1,1,3,101,24,75,2,0
Huron,13,1,3,0,9,141,54,85,2,0
Iosco,1,0,0,0,1,13,9,3,1,0
Iron,4,1,2,0,1,42,16,25,1,1
Isabella,31,2,11,2,16,398,129,251,18,0
Kalkaska,9,0,5,1,3,261,75,169,17,1
Lake,23,1,5,2,15,269,147,114,8,0
Lenawee,52,0,22,1,29,369,120,230,19,2
Luce,6,0,3,0,3,90,34,54,2,0
Mackinac,3,0,0,0,3,61,16,43,2,0
Marquette,5,0,2,0,3,184,16,165,3,1
Mecosta,192,0,15,2,175,481,114,351,16,1
Montcalm,57,0,12,1,44,530,171,322,37,2
Montmorency,2,0,1,0,1,54,37,14,3,0
Oceana,21,0,7,1,13,287,94,181,12,0
Ogemaw,19,0,1,2,16,288,131,151,6,0
Ontonagon,3,0,1,0,2,23,11,11,1,0
Osceola,25,0,3,0,22,267,83,177,7,2
Oscoda,21,0,2,2,17,256,96,153,7,1
Otsego,3,0,1,0,2,33,10,22,1,0
Presque Isle,7,0,2,0,5,41,18,22,1,0
Roscommon,14,0,6,2,6,155,40,104,11,2
Sanilac,29,0,4,0,25,175,84,83,8,2
Shiawassee,46,0,17,4,25,500,197,289,14,0
St. Joseph,25,0,5,0,20,306,105,188,13,2
Tuscola,39,1,6,0,32,332,121,200,11,3
Wexford,26,0,9,1,16,396,78,310,8,2
