County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)1","Rape
(legacy definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
Barry,34.0,0.0,10.0,,0.0,24.0,334.0,97.0,218.0,19.0,0.0
Bay,37.0,2.0,23.0,,4.0,8.0,657.0,101.0,526.0,30.0,3.0
Calhoun,76.0,0.0,19.0,,6.0,51.0,428.0,139.0,262.0,27.0,2.0
Cass,44.0,0.0,21.0,,0.0,23.0,476.0,191.0,275.0,10.0,3.0
Clinton,21.0,2.0,6.0,,0.0,13.0,157.0,62.0,84.0,11.0,0.0
Eaton,94.0,0.0,30.0,,19.0,45.0,1274.0,211.0,1012.0,51.0,7.0
Ingham,118.0,0.0,24.0,,17.0,77.0,624.0,195.0,411.0,18.0,3.0
Jackson,129.0,0.0,27.0,,8.0,94.0,655.0,166.0,460.0,29.0,5.0
Kalamazoo,202.0,1.0,56.0,,32.0,113.0,1809.0,474.0,1234.0,101.0,10.0
Kent,345.0,5.0,113.0,,37.0,190.0,2649.0,668.0,1879.0,102.0,24.0
Lapeer,53.0,0.0,20.0,,2.0,31.0,351.0,119.0,213.0,19.0,1.0
Livingston,66.0,2.0,27.0,,6.0,31.0,720.0,187.0,500.0,33.0,6.0
Macomb,304.0,1.0,59.0,,37.0,207.0,2041.0,438.0,1457.0,146.0,6.0
Midland,54.0,1.0,23.0,,2.0,28.0,368.0,101.0,261.0,6.0,4.0
Monroe,215.0,1.0,63.0,,30.0,121.0,2289.0,598.0,1540.0,151.0,12.0
Montcalm,36.0,0.0,19.0,,1.0,16.0,377.0,103.0,261.0,13.0,5.0
Muskegon,51.0,1.0,11.0,,3.0,36.0,667.0,160.0,477.0,30.0,1.0
Oakland,1026.0,15.0,120.0,,224.0,667.0,4570.0,1389.0,2918.0,263.0,54.0
Ottawa,384.0,0.0,173.0,,17.0,194.0,2655.0,601.0,1995.0,59.0,11.0
Saginaw,105.0,0.0,26.0,,9.0,70.0,590.0,117.0,446.0,27.0,3.0
St. Clair,160.0,1.0,38.0,,10.0,111.0,1251.0,320.0,856.0,75.0,16.0
Van Buren,70.0,0.0,18.0,,2.0,50.0,401.0,137.0,237.0,27.0,4.0
Washtenaw,477.0,3.0,62.0,,52.0,360.0,2011.0,617.0,1242.0,152.0,12.0
Wayne,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcona,12.0,0.0,6.0,,0.0,6.0,177.0,74.0,100.0,3.0,1.0
Alger,0.0,0.0,0.0,,0.0,0.0,9.0,7.0,2.0,0.0,0.0
Allegan,97.0,1.0,26.0,,4.0,66.0,654.0,201.0,416.0,37.0,3.0
Alpena,25.0,0.0,18.0,,0.0,7.0,94.0,16.0,76.0,2.0,1.0
