,County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,,
,Barry,44,2,9,,1,32,318,83,216,19,1,,
,Bay,46,0,15,,5,26,695,117,555,23,2,,
,Berrien,100,1,33,,12,54,554,142,387,25,1,,
,Calhoun,110,0,33,,3,74,496,151,324,21,3,,
,Cass,53,2,29,,2,20,425,160,244,21,5,,
,Clinton,17,1,3,,1,12,141,61,73,7,3,,
,Eaton,135,1,42,,19,73,"1,158",184,927,47,5,,
,Genesee,36,0,10,,3,23,355,84,260,11,1,,
,Ingham,134,0,34,,5,95,540,180,327,33,2,,
,Jackson,163,1,37,,9,116,581,132,426,23,5,,
,Kalamazoo,239,5,51,,34,149,"2,181",437,"1,664",80,14,,
,Kent,355,0,133,,43,179,"2,403",484,"1,812",107,13,,
,Lapeer,117,0,29,,0,88,308,92,201,15,4,,
,Macomb,272,3,39,,43,187,"1,412",202,"1,117",93,8,,
,Midland,59,0,25,,1,33,345,121,213,11,5,,
,Monroe,171,3,57,,24,87,"1,658",457,"1,110",91,9,,
,Montcalm,93,0,39,,1,53,404,115,263,26,8,,
,Muskegon,61,0,21,,1,39,608,120,455,33,4,,
,Oakland,21,0,7,,0,14,62,15,39,8,9,,
,Ottawa,489,0,179,,23,287,"2,442",456,"1,889",97,20,,
,Saginaw,105,0,22,,15,68,608,99,467,42,5,,
,St. Clair,130,0,39,,5,86,"1,043",231,754,58,14,,
,Van Buren,86,1,23,,1,61,447,188,235,24,3,,
,Washtenaw,490,2,54,,67,367,"1,603",416,"1,062",125,9,,
,Wayne,0,0,0,,0,0,0,0,0,0,0,,
,Alcona,13,0,8,,0,5,125,59,62,4,0,,
,Alger,1,0,1,,0,0,6,2,3,1,0,,
,Allegan,93,5,25,,0,63,541,135,377,29,5,,
,Alpena,6,0,2,,0,4,62,19,39,4,0,,
,Antrim,41,0,17,,1,23,151,67,84,0,2,,
,Arenac,27,0,12,,1,14,122,43,77,2,2,,
,Baraga,1,0,1,,0,0,29,8,19,2,1,,
,Benzie,18,0,5,,2,11,107,16,91,0,1,,
,Branch,8,0,5,,0,3,94,29,62,3,1,,
,Charlevoix,30,1,13,,0,16,73,17,54,2,0,,
,Cheboygan,4,0,3,,0,1,72,33,34,5,0,,
,Chippewa,11,0,5,,0,6,53,16,37,0,0,,
,Clare,87,3,30,,2,52,439,180,239,20,3,,
,Crawford,28,0,10,,0,18,104,35,64,5,1,,
,Delta,10,0,3,,0,7,67,19,47,1,0,,
,Emmet,27,0,14,,0,13,142,13,126,3,0,,
,Gladwin,33,1,9,,2,21,172,79,89,4,1,,
,Gogebic,6,0,1,,0,5,62,8,54,0,0,,
,Grand Traverse,169,0,45,,1,123,686,119,547,20,7,,
,Gratiot,26,0,15,,2,9,316,51,256,9,1,,
,Hillsdale,32,1,14,,0,17,139,39,96,4,1,,
,Houghton,5,0,3,,1,1,62,9,50,3,0,,
,Huron,33,0,8,,1,24,116,35,75,6,0,,
,Ionia,34,0,15,,3,16,326,57,251,18,1,,
,Iosco,1,0,0,,0,1,7,2,5,0,0,,
,Iron,6,0,3,,0,3,14,6,8,0,0,,
,Isabella,39,0,3,,3,33,258,65,184,9,1,,
,Kalkaska,22,0,8,,1,13,198,46,145,7,0,,
,Keweenaw,1,0,1,,0,0,36,11,23,2,0,,
,Lake,25,0,7,,2,16,220,113,103,4,1,,
,Leelanau,10,0,3,,0,7,77,14,61,2,0,,
,Luce,6,0,3,,0,3,50,12,37,1,0,,
,Mackinac,9,0,4,,0,5,58,17,38,3,0,,
,Manistee,21,0,8,,0,13,144,15,124,5,5,,
,Marquette,11,0,1,,0,10,139,11,123,5,1,,
,Mason,33,0,8,,0,25,155,33,117,5,0,,
,Mecosta,197,0,17,,0,180,468,137,320,11,4,,
,Menominee,12,0,3,,0,9,66,23,40,3,0,,
,Missaukee,17,0,8,,0,9,153,40,110,3,2,,
,Montmorency,5,0,2,,0,3,21,2,15,4,0,,
,Newaygo,50,0,20,,0,30,248,83,163,2,2,,
,Oceana,32,0,9,,0,23,240,54,178,8,2,,
,Ogemaw,23,0,3,,0,20,130,46,80,4,1,,
,Ontonagon,3,0,1,,0,2,14,9,4,1,0,,
,Osceola,31,0,5,,0,26,206,53,150,3,0,,
,Oscoda,18,0,7,,0,11,111,41,68,2,2,,
,Otsego,10,0,6,,0,4,57,20,36,1,0,,
,Presque Isle,9,0,5,,0,4,22,11,10,1,0,,
,Roscommon,18,1,10,,0,7,138,50,82,6,0,,
,Sanilac,56,0,12,,0,44,168,59,102,7,1,,
,Shiawassee,14,0,9,,0,5,65,12,50,3,1,,
,St. Joseph,58,3,9,,2,44,171,46,110,15,2,,
,Tuscola,49,0,24,,0,25,214,82,123,9,3,,
,Wexford,26,0,12,,0,14,230,59,160,11,1,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
