,County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
,Barry,34,1,11,,0,22,255,54,193,8,0
,Bay,44,0,14,,2,28,593,113,462,18,1
,Berrien,122,2,47,,10,63,587,168,379,40,5
,Calhoun,121,1,28,,4,88,501,137,341,23,1
,Cass,50,0,20,,0,30,551,234,294,23,4
,Clinton,23,0,4,,1,18,172,51,108,13,0
,Eaton,164,2,61,,26,75,986,183,750,53,2
,Genesee,67,0,7,,4,56,326,39,269,18,0
,Ingham,146,2,36,,9,99,504,128,348,28,2
,Jackson,218,1,23,,4,190,631,111,478,42,6
,Kalamazoo,297,4,102,,37,154,"2,236",514,"1,608",114,7
,Kent,386,1,105,,38,242,"2,264",441,"1,701",122,15
,Lapeer,60,2,15,,4,39,351,112,213,26,2
,Livingston,70,1,28,,4,37,552,97,427,28,7
,Macomb,322,2,55,,36,229,"1,436",196,"1,168",72,12
,Midland,50,1,22,,1,26,356,120,217,19,8
,Monroe,167,5,56,,19,87,"1,521",344,"1,065",112,23
,Montcalm,54,0,21,,2,31,226,51,164,11,0
,Muskegon,66,0,25,,1,40,555,95,437,23,5
,Oakland,33,0,10,,0,23,52,7,37,8,6
,Ottawa,559,3,204,,29,323,"2,492",467,"1,942",83,19
,Saginaw,98,2,10,,11,75,494,80,382,32,4
,St. Clair,189,2,34,,3,150,974,190,730,54,14
,Van Buren,120,0,29,,4,87,437,194,210,33,5
,Washtenaw,588,1,69,,80,438,"1,667",391,"1,067",209,16
,Wayne,6,0,4,,1,1,0,0,0,0,0
,Alcona,10,0,2,,0,8,94,40,53,1,1
,Alger,0,0,0,,0,0,5,0,4,1,0
,Allegan,131,0,28,,2,101,558,147,369,42,5
,Alpena,10,0,3,,1,6,36,10,23,3,0
,Antrim,15,0,6,,0,9,279,118,153,8,0
,Arenac,29,1,16,,0,12,100,33,57,10,2
,Baraga,3,0,0,,0,3,26,9,17,0,0
,Benzie,18,0,6,,0,12,100,11,86,3,0
,Branch,10,0,5,,0,5,61,11,45,5,0
,Charlevoix,21,0,12,,1,8,121,20,96,5,0
,Cheboygan,7,0,6,,0,1,70,27,41,2,1
,Chippewa,6,0,1,,0,5,55,16,37,2,0
,Clare,90,1,21,,1,67,412,101,291,20,8
,Crawford,18,0,9,,0,9,104,39,58,7,2
,Delta,9,0,5,,0,4,52,14,36,2,0
,Emmet,28,0,10,,0,18,176,54,121,1,2
,Gladwin,27,0,5,,1,21,126,58,64,4,0
,Gogebic,6,0,4,,0,2,52,10,39,3,0
,Grand Traverse,125,2,34,,5,84,593,100,460,33,5
,Gratiot,21,0,9,,2,10,279,45,221,13,2
,Hillsdale,30,1,11,,0,18,132,43,83,6,1
,Houghton,13,0,9,,1,3,77,19,51,7,1
,Huron,24,0,7,,1,16,103,32,66,5,0
,Ionia,45,1,30,,1,13,267,54,204,9,1
,Iosco,0,0,0,,0,0,0,0,0,0,0
,Iron,8,1,3,,1,3,19,8,11,0,0
,Isabella,48,0,16,,6,26,301,92,201,8,3
,Kalkaska,60,0,2,,1,57,195,38,145,12,2
,Keweenaw,3,0,2,,0,1,26,11,15,0,0
,Lake,20,0,2,,1,17,156,68,82,6,0
,Leelanau,12,0,2,,2,8,77,16,55,6,1
,Lenawee,30,0,7,,2,21,230,85,132,13,0
,Luce,20,0,1,,0,19,73,19,51,3,0
,Mackinac,6,0,4,,0,2,69,11,54,4,1
,Manistee,36,0,17,,0,19,261,48,206,7,2
,Marquette,13,0,3,,3,7,142,17,120,5,0
,Mason,28,0,8,,0,20,191,39,144,8,1
,Mecosta,241,0,18,,2,221,378,62,302,14,3
,Menominee,16,0,9,,0,7,49,19,28,2,0
,Missaukee,21,0,6,,1,14,139,26,110,3,0
,Montmorency,4,0,0,,0,4,19,7,5,7,0
,Newaygo,45,1,13,,0,31,257,67,184,6,2
,Oceana,32,0,4,,2,26,245,66,170,9,1
,Ogemaw,22,0,3,,1,18,163,57,99,7,1
,Ontonagon,13,0,0,,0,13,20,6,10,4,0
,Osceola,45,0,17,,2,26,205,31,143,31,0
,Oscoda,27,0,4,,0,23,158,43,109,6,0
,Otsego,13,0,8,,0,5,49,16,33,0,0
,Presque Isle,5,0,3,,0,2,21,7,13,1,0
,Roscommon,19,1,7,,0,11,148,40,103,5,1
,Sanilac,45,0,8,,2,35,192,84,94,14,1
,Shiawassee,23,0,13,,2,8,134,39,93,2,1
,St. Joseph,54,0,10,,0,44,131,43,76,12,2
,Tuscola,43,0,8,,0,35,205,58,123,24,0
,Wexford,41,0,18,,0,23,260,47,209,4,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
