County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson1
Andrew,3.0,0.0,0.0,0.0,3.0,94.0,28.0,58.0,8.0,0.0
Bates,18.0,0.0,6.0,1.0,11.0,186.0,82.0,104.0,0.0,7.0
Bollinger,3.0,0.0,0.0,0.0,3.0,66.0,28.0,32.0,6.0,8.0
Boone,116.0,1.0,8.0,6.0,101.0,642.0,156.0,451.0,35.0,
Buchanan,24.0,1.0,1.0,1.0,21.0,203.0,89.0,103.0,11.0,4.0
Caldwell,30.0,1.0,3.0,0.0,26.0,95.0,50.0,43.0,2.0,0.0
Callaway,71.0,3.0,8.0,6.0,54.0,720.0,193.0,473.0,54.0,7.0
Cape Girardeau,135.0,0.0,3.0,3.0,129.0,231.0,92.0,124.0,15.0,8.0
Cass,41.0,3.0,3.0,1.0,34.0,333.0,117.0,191.0,25.0,0.0
Christian,145.0,0.0,0.0,0.0,145.0,323.0,132.0,164.0,27.0,0.0
Clay,31.0,1.0,3.0,2.0,25.0,253.0,106.0,136.0,11.0,4.0
Clinton,22.0,0.0,0.0,0.0,22.0,137.0,48.0,78.0,11.0,0.0
Cole,45.0,0.0,1.0,2.0,42.0,304.0,96.0,199.0,9.0,1.0
Dallas,23.0,0.0,3.0,0.0,20.0,158.0,60.0,88.0,10.0,
De Kalb,6.0,0.0,2.0,0.0,4.0,91.0,40.0,42.0,9.0,1.0
Franklin,70.0,0.0,1.0,2.0,67.0,562.0,157.0,357.0,48.0,1.0
Greene,129.0,0.0,13.0,19.0,97.0,1745.0,559.0,1095.0,91.0,17.0
Jackson,77.0,3.0,4.0,11.0,59.0,538.0,168.0,329.0,41.0,6.0
Jasper,184.0,0.0,11.0,6.0,167.0,545.0,161.0,310.0,74.0,2.0
Jefferson,406.0,2.0,29.0,13.0,362.0,2379.0,462.0,1750.0,167.0,22.0
Lafayette,18.0,0.0,1.0,0.0,17.0,131.0,61.0,64.0,6.0,0.0
Lincoln,90.0,1.0,1.0,0.0,88.0,233.0,89.0,120.0,24.0,0.0
McDonald,51.0,0.0,0.0,1.0,50.0,234.0,39.0,164.0,31.0,2.0
Moniteau,14.0,0.0,0.0,0.0,14.0,49.0,20.0,26.0,3.0,1.0
Newton,101.0,1.0,13.0,5.0,82.0,661.0,172.0,422.0,67.0,4.0
Osage,19.0,0.0,1.0,0.0,18.0,100.0,30.0,60.0,10.0,0.0
Platte,29.0,0.0,2.0,2.0,25.0,386.0,87.0,289.0,10.0,3.0
Polk,83.0,0.0,1.0,2.0,80.0,377.0,136.0,209.0,32.0,1.0
Ray,18.0,0.0,2.0,0.0,16.0,140.0,61.0,66.0,13.0,5.0
St. Charles,157.0,0.0,7.0,10.0,140.0,1063.0,277.0,748.0,38.0,9.0
St. Louis County Police Department,1090.0,17.0,70.0,286.0,717.0,9538.0,2162.0,6589.0,787.0,60.0
Warren,42.0,0.0,8.0,0.0,34.0,190.0,70.0,110.0,10.0,0.0
Washington,40.0,1.0,3.0,0.0,36.0,186.0,49.0,99.0,38.0,1.0
Webster,19.0,0.0,0.0,0.0,19.0,273.0,137.0,109.0,27.0,4.0
Adair,22.0,1.0,1.0,0.0,20.0,130.0,27.0,95.0,8.0,2.0
