County,Violent crime
Andrew,2
Bates,31
Bollinger,14
Boone,90
Buchanan,22
Caldwell,17
Callaway,60
Cape Girardeau,13
Cass,48
Christian,66
Clay,25
Clinton,49
Cole,48
Dallas,30
De Kalb,8
Franklin,89
Greene,96
Howard,10
Jackson,42
Jasper,152
Jefferson,384
Lafayette,10
Lincoln,89
McDonald,93
Moniteau,5
Newton,40
Osage,39
Platte,53
Polk,88
Ray,19
St. Charles,141
St. Louis County Police Department,1043
Warren,67
Washington,35
Webster,12
Adair,17
Atchison,0
Audrain,5
Barry,79
Benton,28
Butler,77
Camden,39
Carroll,4
Carter,5
Cedar,12
Chariton,21
Clark,6
Cooper,5
Crawford,32
Dade,4
Daviess,5
Dent,17
Douglas,30
Dunklin,24
Gasconade,19
Gentry,0
Grundy,5
Harrison,8
Henry,43
Hickory,2
Holt,5
Howell,28
Iron,31
Johnson,26
Knox,2
Laclede,138
Lawrence,56
Lewis,0
Linn,16
Livingston,3
Macon,19
Madison,11
Maries,31
Marion,10
Mercer,9
Miller,66
Mississippi,16
Monroe,5
Montgomery,3
Morgan,45
New Madrid,20
Nodaway,36
Oregon,9
Ozark,12
Pemiscot,29
Perry,6
Pettis,9
Phelps,41
Pike,23
Pulaski,91
Putnam,0
Ralls,5
Randolph,6
Reynolds,28
Ripley,29
Saline,23
Schuyler,1
Scott,24
Shannon,3
Shelby,2
St. Clair,6
Ste. Genevieve,59
St. Francois,81
Stoddard,25
Stone,80
Sullivan,10
Taney,117
Texas,6
Vernon,33
Wayne,10
Worth,2
Wright,16
