County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Andrew,18.0,0.0,0.0,,0.0,18.0,176.0,65.0,104.0,7.0,2.0
Bates,63.0,0.0,4.0,,1.0,58.0,186.0,68.0,100.0,18.0,0.0
Bollinger,12.0,1.0,3.0,,0.0,8.0,100.0,40.0,51.0,9.0,1.0
Boone,131.0,1.0,9.0,,12.0,109.0,709.0,128.0,531.0,50.0,7.0
Buchanan,19.0,0.0,0.0,,0.0,19.0,241.0,70.0,146.0,25.0,3.0
Caldwell,9.0,0.0,1.0,,0.0,8.0,78.0,28.0,48.0,2.0,2.0
Callaway,97.0,1.0,5.0,,5.0,86.0,604.0,163.0,401.0,40.0,2.0
Cape Girardeau,20.0,0.0,2.0,,4.0,14.0,268.0,117.0,124.0,27.0,1.0
Cass,26.0,2.0,2.0,,1.0,21.0,387.0,116.0,249.0,22.0,0.0
Christian,37.0,1.0,10.0,,3.0,23.0,365.0,103.0,240.0,22.0,1.0
Clay,54.0,0.0,2.0,,3.0,49.0,210.0,81.0,104.0,25.0,7.0
Clinton,69.0,0.0,0.0,,2.0,67.0,82.0,24.0,46.0,12.0,4.0
Cole,30.0,2.0,2.0,,2.0,24.0,252.0,68.0,167.0,17.0,1.0
Dallas,52.0,0.0,2.0,,0.0,50.0,148.0,49.0,92.0,7.0,0.0
De Kalb,13.0,0.0,1.0,,0.0,12.0,70.0,28.0,36.0,6.0,1.0
Franklin,81.0,0.0,2.0,,1.0,78.0,486.0,133.0,298.0,55.0,2.0
Greene,44.0,1.0,14.0,,12.0,17.0,1275.0,388.0,744.0,143.0,11.0
Jackson,54.0,0.0,4.0,,12.0,38.0,574.0,199.0,319.0,56.0,3.0
Jasper,187.0,0.0,12.0,,6.0,169.0,569.0,209.0,302.0,58.0,7.0
Jefferson,320.0,2.0,67.0,,16.0,235.0,1953.0,342.0,1445.0,166.0,9.0
Lafayette,14.0,0.0,3.0,,0.0,11.0,146.0,29.0,104.0,13.0,1.0
Lincoln,71.0,0.0,22.0,,2.0,47.0,233.0,65.0,150.0,18.0,2.0
McDonald,111.0,2.0,25.0,,1.0,83.0,262.0,52.0,183.0,27.0,2.0
Moniteau,17.0,1.0,1.0,,0.0,15.0,28.0,17.0,0.0,11.0,0.0
Newton,25.0,1.0,12.0,,3.0,9.0,715.0,195.0,438.0,82.0,10.0
Osage,9.0,0.0,1.0,,0.0,8.0,96.0,45.0,44.0,7.0,0.0
Platte,33.0,2.0,2.0,,3.0,26.0,263.0,55.0,182.0,26.0,0.0
Polk,53.0,1.0,5.0,,2.0,45.0,364.0,128.0,200.0,36.0,3.0
Ray,41.0,0.0,0.0,,0.0,41.0,122.0,5.0,107.0,10.0,0.0
St. Charles,125.0,0.0,15.0,,13.0,97.0,803.0,205.0,552.0,46.0,5.0
St. Louis County Police Department,1321.0,12.0,137.0,,300.0,872.0,7391.0,1794.0,5095.0,502.0,53.0
Warren,70.0,4.0,9.0,,0.0,57.0,175.0,59.0,100.0,16.0,5.0
