,County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
,Carson City,154.0,1.0,3.0,,18.0,132.0,971.0,206.0,681.0,84.0,6.0
,Storey,43.0,1.0,1.0,,0.0,41.0,73.0,21.0,46.0,6.0,1.0
,Washoe,132.0,1.0,24.0,,7.0,100.0,770.0,202.0,465.0,103.0,7.0
,Churchill,28.0,0.0,5.0,,0.0,23.0,185.0,63.0,108.0,14.0,2.0
,Douglas,67.0,0.0,11.0,,2.0,54.0,795.0,117.0,633.0,45.0,3.0
,Elko,48.0,2.0,0.0,,0.0,46.0,193.0,38.0,127.0,28.0,4.0
,Esmeralda,1.0,0.0,0.0,,0.0,1.0,5.0,1.0,4.0,0.0,0.0
,Eureka,7.0,0.0,1.0,,1.0,5.0,38.0,19.0,17.0,2.0,0.0
,Humboldt,29.0,0.0,4.0,,0.0,25.0,67.0,32.0,30.0,5.0,2.0
,Lander,40.0,3.0,12.0,,1.0,24.0,112.0,57.0,45.0,10.0,1.0
,Lincoln,3.0,0.0,1.0,,0.0,2.0,37.0,9.0,27.0,1.0,2.0
,Lyon,137.0,3.0,15.0,,8.0,111.0,567.0,138.0,367.0,62.0,7.0
,Mineral,6.0,0.0,1.0,,0.0,5.0,21.0,12.0,1.0,8.0,0.0
,Nye,80.0,0.0,13.0,,12.0,55.0,915.0,338.0,465.0,112.0,1.0
,Pershing,29.0,2.0,4.0,,0.0,23.0,46.0,20.0,25.0,1.0,0.0
,White Pine,13.0,0.0,1.0,,3.0,9.0,82.0,25.0,42.0,15.0,3.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
