County,Crime
Canadian,
Cleveland,40
Comanche,47
Creek,59
Grady,27
Le Flore,57
Lincoln,30
Logan,47
McClain,23
Oklahoma,36
Okmulgee,19
Osage,37
Pawnee,15
Rogers,41
Sequoyah,62
Tulsa,188
Wagoner,43
Adair,66
Alfalfa,1
Atoka,8
Beaver,6
Beckham,6
Blaine,4
Bryan,60
Caddo1,
Carter,
Cherokee,38
Choctaw,19
Cimarron,0
Coal,8
Cotton,7
Craig,5
Custer,9
Delaware,62
Dewey,2
Ellis,8
Garfield,6
Garvin,25
Grant,1
Greer,1
Harmon,1
Harper,2
Haskell1,
Hughes,13
Jackson,7
Jefferson,3
Johnston,22
Kay,27
Kingfisher,3
Kiowa,9
Latimer,6
Love,2
Major,0
Marshall1,
Mayes,33
McCurtain,50
McIntosh,29
Murray,6
Muskogee,72
Noble,1
Nowata,16
Okfuskee,11
Ottawa,3
Payne,27
Pittsburg,34
Pontotoc,22
Pottawatomie,39
Pushmataha,20
Roger Mills,2
Seminole,19
Stephens,38
Texas,2
Tillman,8
Washington,11
Washita,13
Woods,2
Woodward,14
