County,Crime
Canadian,16
Cleveland,42
Comanche,38
Cotton,1
Creek,56
Grady,53
Le Flore,49
Lincoln,26
Logan,23
McClain,21
Oklahoma,32
Okmulgee,11
Osage,31
Pawnee,23
Sequoyah,42
Tulsa,171
Wagoner,47
Adair,54
Alfalfa,3
Atoka,4
Beaver,4
Beckham,4
Blaine,3
Bryan,64
Caddo,78
Carter,67
Cherokee,42
Choctaw,17
Cimarron,0
Coal,7
Craig,8
Custer,5
Delaware,52
Dewey,1
Ellis,5
Garfield,4
Garvin,23
Grant,2
Greer,6
Harmon,1
Harper,0
Haskell,24
Hughes,3
Jackson,6
Jefferson,2
Johnston,12
Kay,22
Kingfisher,1
Kiowa,1
Latimer,6
Love,4
Major,3
Marshall,42
McCurtain,46
McIntosh,20
Murray,8
Muskogee,79
Noble,3
Nowata,6
Okfuskee,10
Ottawa,14
Payne,15
Pittsburg,31
Pontotoc,27
Pottawatomie,30
Pushmataha,10
Roger Mills,5
Seminole,2
Stephens,14
Texas,5
Tillman,9
Washington,24
Washita,15
Woods,2
Woodward,6
