County,Crime,,,,,,,,,
Canadian,12,,,,,,,,,
Cleveland,52,,,,,,,,,
Comanche,23,,,,,,,,,
Cotton,0,,,,,,,,,
Creek,58,,,,,,,,,
Garfield,6,,,,,,,,,
Grady,17,,,,,,,,,
Le Flore,57,,,,,,,,,
Lincoln,29,,,,,,,,,
Logan,38,,,,,,,,,
McClain,24,,,,,,,,,
Oklahoma,22,,,,,,,,,
Okmulgee,29,,,,,,,,,
Osage,39,,,,,,,,,
Pawnee,9,,,,,,,,,
Rogers,81,,,,,,,,,
Sequoyah,60,,,,,,,,,
Tulsa,220,,,,,,,,,
Wagoner,65,,,,,,,,,
Adair,84,,,,,,,,,
Alfalfa,1,,,,,,,,,
Atoka,6,,,,,,,,,
Beaver,2,,,,,,,,,
Beckham,7,,,,,,,,,
Blaine,3,,,,,,,,,
Caddo,41,,,,,,,,,
Carter,19,,,,,,,,,
Cherokee,62,,,,,,,,,
Choctaw,12,,,,,,,,,
Cimarron,0,,,,,,,,,
Coal,8,,,,,,,,,
Craig,8,,,,,,,,,
Custer,11,,,,,,,,,
Delaware,35,,,,,,,,,
Dewey,2,,,,,,,,,
Ellis,0,,,,,,,,,
Garvin,20,,,,,,,,,
Grant,0,,,,,,,,,
Harmon,0,,,,,,,,,
Harper,1,,,,,,,,,
Hughes,19,,,,,,,,,
Jackson,4,,,,,,,,,
Jefferson,4,,,,,,,,,
Johnston,21,,,,,,,,,
Kay,22,,,,,,,,,
Kingfisher,3,,,,,,,,,
Kiowa,3,,,,,,,,,
Latimer,19,,,,,,,,,
Love,12,,,,,,,,,
Major,1,,,,,,,,,
Marshall,18,,,,,,,,,
Mayes,35,,,,,,,,,
McCurtain,24,,,,,,,,,
McIntosh,26,,,,,,,,,
Murray,3,,,,,,,,,
Muskogee,74,,,,,,,,,
Noble,5,,,,,,,,,
Nowata,2,,,,,,,,,
Okfuskee,24,,,,,,,,,
Ottawa,4,,,,,,,,,
Payne,25,,,,,,,,,
Pittsburg,48,,,,,,,,,
Pontotoc,27,,,,,,,,,
Pottawatomie,49,,,,,,,,,
Pushmataha,6,,,,,,,,,
Roger Mills,2,,,,,,,,,
Seminole,13,,,,,,,,,
Stephens,12,,,,,,,,,
Texas,4,,,,,,,,,
Tillman,2,,,,,,,,,
Washita,19,,,,,,,,,
Woods,4,,,,,,,,,
Woodward,9,,,,,,,,,
