,County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
,Benton,27,0,5,,0,22,189,61,117,11,5
,Columbia,8,0,,0,0,8,66,38,18,10,1
,Deschutes,80,0,18,,3,59,810,196,568,46,15
,Jackson,175,3,15,,14,143,"1,329",273,948,108,5
,Linn,23,1,,8,6,8,"1,069",293,685,91,
,Marion,62,1,,18,15,28,"2,229",409,"1,521",299,
,Multnomah,108,0,,6,16,86,904,130,725,49,
,Polk,35,1,3,,0,31,224,70,130,24,0
,Washington,322,2,,78,51,191,"2,464",480,"1,800",184,
,Yamhill,39,0,14,,2,23,531,139,351,41,6
,Baker,12,0,,0,0,12,41,10,30,1,0
,Clatsop,12,0,,1,3,8,247,84,143,20,
,Coos,19,1,,1,0,17,552,150,358,44,
,Crook,19,0,,5,0,14,140,43,97,0,0
,Douglas,119,1,15,,7,96,"1,149",265,730,154,8
,Gilliam,0,0,,0,0,0,30,5,24,1,1
,Grant,0,0,,0,0,0,41,6,32,3,
,Harney,3,0,,0,1,2,11,5,5,1,
,Hood River4,16,1,1,,1,13,172,43,113,16,0
,Klamath,56,5,,10,9,32,878,298,488,92,11
,Lincoln,51,0,8,,5,38,437,144,267,26,4
,Malheur,5,2,,0,1,2,101,23,74,4,0
,Sherman,1,0,,0,0,1,17,4,13,0,
,Tillamook,10,1,1,,1,7,270,64,188,18,0
,Union,15,0,1,,0,14,169,28,136,5,1
,Wallowa,0,0,,0,0,0,34,11,22,1,2
,Wasco4,16,0,0,,1,15,129,45,69,15,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
