County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
Asotin,16.0,1.0,0.0,0.0,15.0,170.0,35.0,131.0,4.0,0.0
Benton,58.0,1.0,5.0,5.0,47.0,561.0,198.0,316.0,47.0,0.0
Chelan,37.0,0.0,18.0,4.0,15.0,867.0,174.0,650.0,43.0,1.0
Clark,239.0,0.0,60.0,54.0,125.0,4288.0,926.0,2894.0,468.0,40.0
Cowlitz,102.0,0.0,45.0,7.0,50.0,583.0,189.0,339.0,55.0,5.0
Franklin,18.0,0.0,4.0,2.0,12.0,186.0,43.0,131.0,12.0,2.0
King,471.0,7.0,92.0,124.0,248.0,6242.0,2095.0,3420.0,727.0,94.0
Kitsap,628.0,1.0,95.0,60.0,472.0,3503.0,1035.0,2262.0,206.0,37.0
Pierce,1134.0,10.0,101.0,263.0,760.0,9533.0,3180.0,5174.0,1179.0,52.0
Skagit,116.0,0.0,25.0,13.0,78.0,1443.0,490.0,878.0,75.0,12.0
Skamania,10.0,0.0,2.0,0.0,8.0,222.0,45.0,157.0,20.0,0.0
Snohomish,487.0,4.0,77.0,98.0,308.0,5445.0,1772.0,2979.0,694.0,39.0
Spokane,155.0,3.0,14.0,29.0,109.0,3834.0,1181.0,2298.0,355.0,6.0
Thurston,335.0,4.0,25.0,27.0,279.0,2935.0,1115.0,1682.0,138.0,27.0
Whatcom,126.0,2.0,28.0,16.0,80.0,1355.0,501.0,765.0,89.0,6.0
Yakima,128.0,4.0,24.0,29.0,71.0,2357.0,1115.0,933.0,309.0,28.0
Adams,23.0,0.0,5.0,4.0,14.0,321.0,129.0,160.0,32.0,6.0
Clallam,63.0,0.0,8.0,4.0,51.0,653.0,196.0,429.0,28.0,2.0
Columbia,4.0,0.0,0.0,1.0,3.0,193.0,50.0,136.0,7.0,2.0
Ferry,8.0,0.0,0.0,0.0,8.0,32.0,12.0,16.0,4.0,0.0
Garfield,3.0,0.0,3.0,0.0,0.0,54.0,11.0,43.0,0.0,1.0
Grant,93.0,2.0,14.0,16.0,61.0,1661.0,618.0,876.0,167.0,25.0
Grays Harbor,32.0,1.0,1.0,6.0,24.0,482.0,213.0,237.0,32.0,2.0
Island,40.0,0.0,6.0,3.0,31.0,547.0,190.0,324.0,33.0,1.0
Jefferson,44.0,1.0,6.0,4.0,33.0,380.0,116.0,252.0,12.0,1.0
Kittitas,14.0,0.0,2.0,5.0,7.0,484.0,157.0,286.0,41.0,5.0
Klickitat,3.0,0.0,0.0,0.0,3.0,167.0,125.0,14.0,28.0,0.0
Lewis,48.0,6.0,3.0,5.0,34.0,729.0,256.0,429.0,44.0,2.0
Lincoln,6.0,0.0,2.0,0.0,4.0,127.0,31.0,90.0,6.0,3.0
Mason,108.0,1.0,24.0,20.0,63.0,1705.0,542.0,939.0,224.0,5.0
Okanogan,33.0,1.0,4.0,5.0,23.0,351.0,114.0,192.0,45.0,2.0
Pacific,22.0,0.0,4.0,3.0,15.0,439.0,189.0,225.0,25.0,5.0
Pend Oreille,16.0,0.0,0.0,0.0,16.0,422.0,140.0,243.0,39.0,2.0
San Juan,14.0,0.0,4.0,0.0,10.0,187.0,68.0,107.0,12.0,5.0
Stevens,46.0,0.0,20.0,4.0,22.0,818.0,349.0,380.0,89.0,1.0
Wahkiakum,2.0,0.0,1.0,0.0,1.0,31.0,10.0,18.0,3.0,0.0
Walla Walla,31.0,1.0,10.0,2.0,18.0,342.0,117.0,209.0,16.0,0.0
Whitman,5.0,1.0,1.0,1.0,2.0,127.0,44.0,73.0,10.0,1.0
