County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson1
Asotin,18.0,0.0,0.0,0.0,18.0,215.0,45.0,160.0,10.0,0.0
Benton,64.0,0.0,10.0,8.0,46.0,645.0,231.0,350.0,64.0,6.0
Chelan,36.0,3.0,8.0,3.0,22.0,667.0,189.0,432.0,46.0,2.0
Clark,248.0,2.0,48.0,65.0,133.0,3853.0,924.0,2525.0,404.0,27.0
Cowlitz,78.0,1.0,36.0,4.0,37.0,501.0,189.0,275.0,37.0,11.0
Douglas,22.0,1.0,7.0,1.0,13.0,399.0,131.0,239.0,29.0,0.0
Franklin,24.0,0.0,4.0,2.0,18.0,168.0,53.0,102.0,13.0,3.0
King,430.0,5.0,85.0,127.0,213.0,5573.0,2200.0,2749.0,624.0,82.0
Kitsap,441.0,2.0,64.0,52.0,323.0,4000.0,1312.0,2387.0,301.0,13.0
Pierce,919.0,10.0,88.0,218.0,603.0,9585.0,3132.0,5341.0,1112.0,48.0
Skamania,10.0,0.0,2.0,0.0,8.0,214.0,52.0,151.0,11.0,0.0
Spokane,132.0,3.0,16.0,30.0,83.0,3912.0,1189.0,2439.0,284.0,16.0
Thurston,294.0,3.0,32.0,24.0,235.0,2726.0,1086.0,1502.0,138.0,18.0
Whatcom,132.0,0.0,38.0,7.0,87.0,1339.0,485.0,789.0,65.0,12.0
Yakima,133.0,7.0,27.0,25.0,74.0,2290.0,999.0,995.0,296.0,31.0
Clallam,59.0,0.0,8.0,3.0,48.0,850.0,255.0,534.0,61.0,7.0
Columbia,7.0,0.0,1.0,0.0,6.0,179.0,42.0,132.0,5.0,0.0
Ferry,2.0,0.0,0.0,0.0,2.0,25.0,12.0,12.0,1.0,0.0
Garfield,4.0,0.0,1.0,0.0,3.0,62.0,13.0,47.0,2.0,1.0
Grant,111.0,3.0,7.0,10.0,91.0,1472.0,484.0,868.0,120.0,6.0
Grays Harbor,24.0,2.0,3.0,2.0,17.0,434.0,158.0,240.0,36.0,2.0
Island,43.0,1.0,13.0,3.0,26.0,773.0,331.0,426.0,16.0,5.0
Jefferson,22.0,0.0,12.0,1.0,9.0,360.0,109.0,236.0,15.0,1.0
Kittitas,20.0,1.0,5.0,2.0,12.0,448.0,158.0,266.0,24.0,1.0
Lewis,58.0,0.0,7.0,1.0,50.0,631.0,237.0,351.0,43.0,2.0
Lincoln,8.0,0.0,1.0,1.0,6.0,135.0,43.0,85.0,7.0,2.0
Mason,101.0,0.0,17.0,5.0,79.0,1734.0,665.0,900.0,169.0,4.0
Okanogan,55.0,2.0,4.0,4.0,45.0,308.0,103.0,181.0,24.0,0.0
Pacific,13.0,1.0,6.0,1.0,5.0,333.0,163.0,154.0,16.0,1.0
Pend Oreille,17.0,0.0,1.0,0.0,16.0,411.0,133.0,252.0,26.0,0.0
San Juan,19.0,1.0,1.0,0.0,17.0,177.0,51.0,112.0,14.0,4.0
Stevens,26.0,2.0,5.0,2.0,17.0,575.0,226.0,294.0,55.0,0.0
Wahkiakum,6.0,0.0,0.0,0.0,6.0,12.0,3.0,9.0,0.0,1.0
Walla Walla,25.0,0.0,8.0,2.0,15.0,365.0,90.0,251.0,24.0,3.0
Whitman,8.0,0.0,0.0,0.0,8.0,58.0,28.0,28.0,2.0,0.0
