County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Asotin,21.0,0.0,5.0,,3.0,13.0,140.0,28.0,99.0,13.0,0.0
Benton,66.0,0.0,6.0,,5.0,55.0,406.0,111.0,273.0,22.0,2.0
Chelan,34.0,0.0,1.0,,1.0,32.0,532.0,186.0,313.0,33.0,2.0
Clark,336.0,3.0,76.0,,39.0,218.0,3119.0,698.0,1867.0,554.0,39.0
Columbia,0.0,0.0,0.0,,0.0,0.0,77.0,28.0,46.0,3.0,1.0
Cowlitz,76.0,1.0,23.0,,4.0,48.0,453.0,150.0,248.0,55.0,4.0
Douglas,17.0,0.0,3.0,,2.0,12.0,331.0,108.0,183.0,40.0,2.0
Franklin,30.0,2.0,6.0,,0.0,22.0,147.0,49.0,87.0,11.0,5.0
King,378.0,9.0,,74.0,85.0,210.0,4557.0,1541.0,2319.0,697.0,52.0
Kitsap,347.0,6.0,67.0,,44.0,230.0,3830.0,874.0,2665.0,291.0,18.0
Pend Oreille,13.0,0.0,1.0,,1.0,11.0,303.0,105.0,176.0,22.0,1.0
Pierce,1103.0,16.0,125.0,,225.0,737.0,8392.0,2896.0,4470.0,1026.0,50.0
Skagit,92.0,1.0,13.0,,7.0,71.0,1310.0,460.0,774.0,76.0,3.0
Skamania,9.0,0.0,4.0,,0.0,5.0,138.0,34.0,89.0,15.0,1.0
"Snohomish3, 4",476.0,6.0,75.0,,109.0,286.0,6373.0,1918.0,3526.0,929.0,53.0
Spokane,209.0,5.0,,51.0,40.0,113.0,3143.0,793.0,2107.0,243.0,12.0
Stevens,42.0,4.0,17.0,,4.0,17.0,583.0,253.0,286.0,44.0,0.0
Thurston,239.0,3.0,35.0,,25.0,176.0,2434.0,875.0,1359.0,200.0,17.0
Walla Walla,13.0,0.0,5.0,,1.0,7.0,261.0,80.0,151.0,30.0,12.0
Whatcom,98.0,5.0,23.0,,9.0,61.0,1094.0,380.0,638.0,76.0,10.0
Yakima,86.0,7.0,11.0,,19.0,49.0,1521.0,560.0,763.0,198.0,15.0
Adams,17.0,0.0,2.0,,6.0,9.0,287.0,117.0,137.0,33.0,5.0
Clallam,51.0,0.0,14.0,,4.0,33.0,778.0,264.0,472.0,42.0,4.0
Garfield,6.0,0.0,3.0,,0.0,3.0,45.0,9.0,33.0,3.0,1.0
Grant,82.0,2.0,9.0,,6.0,65.0,1229.0,410.0,660.0,159.0,18.0
Grays Harbor,40.0,0.0,4.0,,4.0,32.0,377.0,143.0,217.0,17.0,3.0
Island,48.0,1.0,12.0,,7.0,28.0,520.0,203.0,282.0,35.0,2.0
Jefferson,19.0,1.0,7.0,,2.0,9.0,314.0,111.0,189.0,14.0,2.0
Kittitas,10.0,0.0,6.0,,0.0,4.0,205.0,65.0,129.0,11.0,0.0
Klickitat,11.0,0.0,2.0,,0.0,9.0,115.0,74.0,25.0,16.0,1.0
Lewis,62.0,0.0,12.0,,5.0,45.0,481.0,195.0,256.0,30.0,2.0
Lincoln,6.0,0.0,2.0,,2.0,2.0,146.0,35.0,103.0,8.0,1.0
Mason,106.0,3.0,4.0,,9.0,90.0,1164.0,471.0,592.0,101.0,10.0
Okanogan,41.0,1.0,6.0,,1.0,33.0,299.0,131.0,151.0,17.0,0.0
Pacific,19.0,0.0,3.0,,0.0,16.0,202.0,97.0,99.0,6.0,1.0
San Juan,16.0,0.0,0.0,,0.0,16.0,212.0,53.0,150.0,9.0,1.0
Wahkiakum,4.0,0.0,2.0,,0.0,2.0,61.0,23.0,30.0,8.0,0.0
Whitman,10.0,0.0,2.0,,0.0,8.0,60.0,21.0,34.0,5.0,1.0
