year,alaska.count,alaska.rate,united-states.count,united-states.rate
2006,4610,688.0052772,1435123,479.3354264
2007,4520,661.3234076,1422970,471.7739346
2008,4475,652.0538604,1394461,458.6141767
2009,4424,633.3816769,1325896,431.8787335
2010,4537,635.3042655,1251248,404.5023483
2011,4416,610.0627193,1206031,387.0597431
2012,4412,604.1294962,1217057,387.7537551
2013,4709,638.7171944,1168298,369.1333693
2014,4684,635.5098596,1153022,361.5538543
2015,5391,730.7759564,1199310,373.7371891
2016,5966,804.1580064,1248185,386.282489
