year,oregon.count,oregon.rate,united-states.count,united-states.rate
2006,10534,284.6443891,1435123,479.3354264
2007,11015,293.9328157,1422970,471.7739346
2008,9909,261.4470483,1394461,458.6141767
2009,9968,260.5565528,1325896,431.8787335
2010,9648,251.3591841,1251248,404.5023483
2011,9643,249.2872061,1206031,387.0597431
2012,9638,247.1408156,1217057,387.7537551
2013,9536,242.7656548,1168298,369.1333693
2014,10294,259.2162272,1153022,361.5538543
2015,10680,265.3657451,1199310,373.7371891
2016,10830,264.5680371,1248185,386.282489
