STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
01,001,Alabama,Autauga,54571,1539582278,31650,58,50882539,3.3,1611,31650,58,50882539,3.3,1611,0,0,0,0,,22921,42,1488699739,96.7,39.9
01,003,Alabama,Baldwin,182265,4117521611,105205,57.72,275001368,6.68,990.8,63649,34.92,163619520,3.97,1007.5,41556,22.8,111381848,2.71,966.3,77060,42.28,3842520243,93.32,51.9
01,005,Alabama,Barbour,27457,2291818968,8844,32.21,17447656,0.76,1312.8,0,0,0,0,,8844,32.21,17447656,0.76,1312.8,18613,67.79,2274371312,99.24,21.2
01,007,Alabama,Bibb,22915,1612480789,7252,31.65,18903236,1.17,993.6,0,0,0,0,,7252,31.65,18903236,1.17,993.6,15663,68.35,1593577553,98.83,25.5
01,009,Alabama,Blount,57322,1669961855,5760,10.05,10874700,0.65,1371.8,386,0.67,1022979,0.06,977.3,5374,9.38,9851721,0.59,1412.8,51562,89.95,1659087155,99.35,80.5
01,011,Alabama,Bullock,10914,1613056905,5307,48.63,12675709,0.79,1084.4,0,0,0,0,,5307,48.63,12675709,0.79,1084.4,5607,51.37,1600381196,99.21,9.1
01,013,Alabama,Butler,20947,2011976894,6026,28.77,10503875,0.52,1485.9,0,0,0,0,,6026,28.77,10503875,0.52,1485.9,14921,71.23,2001473019,99.48,19.3
01,015,Alabama,Calhoun,118572,1569189995,78617,66.3,210145581,13.39,968.9,74951,63.21,202300415,12.89,959.6,3666,3.09,7845166,0.5,1210.3,39955,33.7,1359044414,86.61,76.1
01,017,Alabama,Chambers,34215,1545009282,17399,50.85,54790707,3.55,822.5,0,0,0,0,,17399,50.85,54790707,3.55,822.5,16816,49.15,1490218575,96.45,29.2
01,019,Alabama,Cherokee,25989,1434075952,3707,14.26,26419773,1.84,363.4,0,0,0,0,,3707,14.26,26419773,1.84,363.4,22282,85.74,1407656179,98.16,41
