SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,44,001,Rhode Island,Bristol County,1,0,49875,23951,25924,22993,24970,247,192,39,46,333,396,4,0,335,320,23304,25275,365,298,175,161,440,517,20,22,23464,25422,22580,24541,215,171,35,40,326,388,3,0,305,282,22866,24809,320,264,160,138,421,498,16,17,487,502,413,429,32,21,4,6,7,8,1,0,30,38,438,466,45,34,15,23,19,19,4,5
050,44,001,Rhode Island,Bristol County,1,1,2179,1100,1079,1017,990,18,12,3,6,20,17,0,0,42,54,1056,1042,38,37,12,22,42,34,0,0,1044,1028,972,952,15,11,2,4,20,17,0,0,35,44,1006,994,31,32,8,15,40,33,0,0,56,51,45,38,3,1,1,2,0,0,0,0,7,10,50,48,7,5,4,7,2,1,0,0
050,44,001,Rhode Island,Bristol County,1,2,2870,1407,1463,1306,1334,18,15,2,6,39,57,0,0,42,51,1343,1385,42,32,16,17,48,85,0,1,1353,1407,1256,1286,18,15,2,4,37,56,0,0,40,46,1292,1332,40,30,15,15,46,81,0,0,54,56,50,48,0,0,0,2,2,1,0,0,2,5,51,53,2,2,1,2,2,4,0,1
050,44,001,Rhode Island,Bristol County,1,3,3111,1570,1541,1452,1451,27,17,5,5,28,33,0,0,58,35,1505,1484,47,30,22,16,55,47,0,4,1514,1503,1405,1420,22,16,4,5,28,31,0,0,55,31,1455,1450,42,28,20,14,53,42,0,1,56,38,47,31,5,1,1,0,0,2,0,0,3,4,50,34,5,2,2,2,2,5,0,3
050,44,001,Rhode Island,Bristol County,1,4,4125,2137,1988,2036,1888,23,29,6,1,28,38,1,0,43,32,2077,1920,38,41,24,10,41,51,2,3,2071,1940,1982,1848,19,24,6,1,27,38,1,0,36,29,2016,1877,32,35,22,8,37,50,2,2,66,48,54,40,4,5,0,0,1,0,0,0,7,3,61,43,6,6,2,2,4,1,0,1
050,44,001,Rhode Island,Bristol County,1,5,3926,2033,1893,1935,1813,24,24,4,5,30,19,1,0,39,32,1971,1845,35,30,22,19,41,32,5,1,1981,1833,1896,1763,17,20,4,5,30,19,0,0,34,26,1927,1789,25,26,21,14,39,31,3,1,52,60,39,50,7,4,0,0,0,0,1,0,5,6,44,56,10,4,1,5,2,1,2,0
050,44,001,Rhode Island,Bristol County,1,6,2327,1193,1134,1137,1095,21,8,1,4,13,12,0,0,21,15,1158,1107,26,15,12,11,18,17,0,0,1172,1091,1122,1055,17,7,1,3,13,12,0,0,19,14,1141,1066,21,13,11,10,18,17,0,0,21,43,15,40,4,1,0,1,0,0,0,0,2,1,17,41,5,2,1,1,0,0,0,0
050,44,001,Rhode Island,Bristol County,1,7,2028,976,1052,942,984,10,15,0,1,13,33,0,0,11,19,953,1001,11,23,6,7,17,39,0,1,939,1014,908,955,9,13,0,1,12,32,0,0,10,13,918,966,10,17,6,6,15,37,0,1,37,38,34,29,1,2,0,0,1,1,0,0,1,6,35,35,1,6,0,1,2,2,0,0
050,44,001,Rhode Island,Bristol County,1,8,2517,1200,1317,1158,1271,11,10,1,4,20,20,1,0,9,12,1165,1282,15,13,6,11,23,24,1,0,1180,1290,1138,1247,11,9,1,3,20,20,1,0,9,11,1145,1257,15,12,6,9,23,24,1,0,20,27,20,24,0,1,0,1,0,0,0,0,0,1,20,25,0,1,0,2,0,0,0,0
050,44,001,Rhode Island,Bristol County,1,9,3307,1574,1733,1509,1661,16,14,1,3,32,44,1,0,15,11,1523,1670,19,19,10,8,36,46,1,2,1541,1704,1480,1636,13,11,1,3,31,44,1,0,15,10,1494,1644,16,16,10,8,35,45,1,2,33,29,29,25,3,3,0,0,1,0,0,0,0,1,29,26,3,3,0,0,1,1,0,0
