SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,23,001,Maine,Androscoggin County,1,0,107702,52716,54986,49103,51347,2069,1930,218,220,338,453,19,21,969,1015,50047,52336,2471,2340,626,681,548,648,44,45,51885,54148,48422,50644,2017,1889,193,202,335,450,13,16,905,947,49307,51565,2391,2269,568,630,531,632,36,38,831,838,681,703,52,41,25,18,3,3,6,5,64,68,740,771,80,71,58,51,17,16,8,7
050,23,001,Maine,Androscoggin County,1,1,6886,3486,3400,2923,2778,367,389,9,13,15,30,1,3,171,187,3093,2962,477,511,43,62,50,59,2,4,3389,3287,2846,2694,357,379,9,11,15,29,1,3,161,171,3006,2862,462,490,39,55,49,57,2,3,97,113,77,84,10,10,0,2,0,1,0,0,10,16,87,100,15,21,4,7,1,2,0,1
050,23,001,Maine,Androscoggin County,1,2,6586,3357,3229,2880,2749,280,295,14,15,22,37,1,2,160,131,3038,2879,384,378,54,45,49,63,4,6,3256,3107,2803,2656,270,286,14,14,22,37,0,1,147,113,2950,2768,365,361,48,37,46,56,2,5,101,122,77,93,10,9,0,1,0,0,1,1,13,18,88,111,19,17,6,8,3,7,2,1
050,23,001,Maine,Androscoggin County,1,3,6616,3426,3190,2989,2810,265,222,18,13,29,30,1,1,124,114,3108,2923,329,284,58,45,56,55,3,4,3330,3113,2911,2741,261,221,18,11,29,30,0,0,111,110,3019,2850,319,282,51,39,53,55,2,3,96,77,78,69,4,1,0,2,0,0,1,1,13,4,89,73,10,2,7,6,3,0,1,1
050,23,001,Maine,Androscoggin County,1,4,7276,3831,3445,3442,3088,231,204,19,19,40,36,0,2,99,96,3538,3181,270,250,51,53,71,57,4,3,3740,3365,3365,3023,224,199,17,19,40,36,0,0,94,88,3456,3108,260,242,47,49,71,56,4,1,91,80,77,65,7,5,2,0,0,0,0,2,5,8,82,73,10,8,4,4,0,1,0,2
050,23,001,Maine,Androscoggin County,1,5,6966,3390,3576,3122,3264,141,156,19,15,28,45,2,1,78,95,3200,3354,174,183,48,68,53,65,3,2,3313,3503,3058,3202,135,152,15,13,28,44,1,1,76,91,3134,3288,167,179,43,63,52,63,2,2,77,73,64,62,6,4,4,2,0,1,1,0,2,4,66,66,7,4,5,5,1,2,1,0
050,23,001,Maine,Androscoggin County,1,6,6458,3110,3348,2910,3093,110,133,16,19,26,32,1,2,47,69,2956,3160,126,152,39,57,38,50,5,4,3054,3292,2864,3049,108,127,14,17,23,32,1,2,44,65,2908,3112,122,143,36,52,34,50,4,4,56,56,46,44,2,6,2,2,3,0,0,0,3,4,48,48,4,9,3,5,4,0,1,0
050,23,001,Maine,Androscoggin County,1,7,6502,3163,3339,2959,3139,125,89,19,18,12,28,1,4,47,61,3004,3199,135,111,43,43,26,45,4,5,3102,3278,2908,3084,121,89,17,16,12,28,1,4,43,57,2949,3140,131,109,40,40,23,43,4,5,61,61,51,55,4,0,2,2,0,0,0,0,4,4,55,59,4,2,3,3,3,2,0,0
050,23,001,Maine,Androscoggin County,1,8,6796,3401,3395,3192,3183,125,114,14,14,21,40,2,1,47,43,3237,3224,134,120,37,44,38,49,2,1,3364,3356,3161,3150,122,112,13,13,21,40,1,1,46,40,3205,3188,131,118,36,41,37,48,1,1,37,39,31,33,3,2,1,1,0,0,1,0,1,3,32,36,3,2,1,3,1,1,1,0
050,23,001,Maine,Androscoggin County,1,9,7647,3796,3851,3594,3656,110,94,17,18,42,44,4,1,29,38,3621,3694,114,97,39,43,45,52,7,3,3741,3808,3550,3617,108,94,14,17,42,43,2,0,25,37,3573,3654,111,97,34,41,44,51,5,2,55,43,44,39,2,0,3,1,0,1,2,1,4,1,48,40,3,0,5,2,1,1,2,1
050,23,001,Maine,Androscoggin County,1,10,8704,4330,4374,4155,4208,92,81,24,14,21,28,0,1,38,42,4189,4247,95,86,56,46,27,35,1,5,4282,4328,4116,4167,90,77,22,14,21,28,0,1,33,41,4145,4205,93,82,49,46,27,35,1,4,48,46,39,41,2,4,2,0,0,0,0,0,5,1,44,42,2,4,7,0,0,0,0,1
050,23,001,Maine,Androscoggin County,1,11,8323,4145,4178,3978,4042,77,42,18,17,31,35,1,1,40,41,4017,4083,81,45,52,48,34,42,2,2,4111,4135,3948,4001,76,42,15,17,31,35,1,1,40,39,3987,4040,80,43,49,48,34,42,2,2,34,43,30,41,1,0,3,0,0,0,0,0,0,2,30,43,1,2,3,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,12,7321,3640,3681,3512,3577,61,36,17,16,18,21,1,0,31,31,3542,3606,63,43,43,38,21,25,3,2,3613,3650,3491,3549,61,36,12,14,18,21,1,0,30,30,3520,3577,63,43,37,35,21,25,3,2,27,31,21,28,0,0,5,2,0,0,0,0,1,1,22,29,0,0,6,3,0,0,0,0
050,23,001,Maine,Androscoggin County,1,13,6437,3160,3277,3077,3202,40,17,8,14,13,21,1,1,21,22,3097,3223,43,18,26,33,15,24,1,2,3140,3256,3060,3184,39,17,8,12,13,21,1,1,19,21,3078,3204,41,18,24,30,15,24,1,2,20,21,17,18,1,0,0,2,0,0,0,0,2,1,19,19,2,0,2,3,0,0,0,0
050,23,001,Maine,Androscoggin County,1,14,4463,2118,2345,2078,2289,20,27,4,6,5,10,1,0,10,13,2088,2301,21,29,12,17,6,10,1,1,2106,2336,2067,2282,20,27,3,5,5,10,1,0,10,12,2077,2293,21,29,11,15,6,10,1,1,12,9,11,7,0,0,1,1,0,0,0,0,0,1,11,8,0,0,1,2,0,0,0,0
050,23,001,Maine,Androscoggin County,1,15,3393,1622,1771,1588,1733,10,14,2,2,5,8,0,0,17,14,1605,1747,10,14,15,16,9,8,0,0,1614,1763,1581,1725,10,14,2,2,5,8,0,0,16,14,1597,1739,10,14,14,16,9,8,0,0,8,8,7,8,0,0,0,0,0,0,0,0,1,0,8,8,0,0,1,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,16,2953,1248,1705,1233,1679,4,10,0,4,4,5,1,0,6,7,1239,1686,4,11,6,10,4,5,1,0,1241,1697,1226,1671,4,10,0,4,4,5,1,0,6,7,1232,1678,4,11,6,10,4,5,1,0,7,8,7,8,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,17,2209,844,1365,835,1351,4,2,0,3,3,2,0,0,2,7,837,1358,4,2,2,10,3,2,0,0,843,1360,834,1346,4,2,0,3,3,2,0,0,2,7,836,1353,4,2,2,10,3,2,0,0,1,5,1,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,18,2166,649,1517,636,1506,7,5,0,0,3,1,1,1,2,4,638,1509,7,6,2,3,3,2,1,1,646,1514,633,1503,7,5,0,0,3,1,1,1,2,4,635,1506,7,6,2,3,3,2,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,2,0,107702,52716,54986,49103,51347,2069,1930,218,220,338,453,19,21,969,1015,50047,52336,2471,2340,626,681,548,648,44,45,51885,54148,48422,50644,2017,1889,193,202,335,450,13,16,905,947,49307,51565,2391,2269,568,630,531,632,36,38,831,838,681,703,52,41,25,18,3,3,6,5,64,68,740,771,80,71,58,51,17,16,8,7
050,23,001,Maine,Androscoggin County,2,1,6886,3486,3400,2923,2778,367,389,9,13,15,30,1,3,171,187,3093,2962,477,511,43,62,50,59,2,4,3389,3287,2846,2694,357,379,9,11,15,29,1,3,161,171,3006,2862,462,490,39,55,49,57,2,3,97,113,77,84,10,10,0,2,0,1,0,0,10,16,87,100,15,21,4,7,1,2,0,1
050,23,001,Maine,Androscoggin County,2,2,6586,3357,3229,2880,2749,280,295,14,15,22,37,1,2,160,131,3038,2879,384,378,54,45,49,63,4,6,3256,3107,2803,2656,270,286,14,14,22,37,0,1,147,113,2950,2768,365,361,48,37,46,56,2,5,101,122,77,93,10,9,0,1,0,0,1,1,13,18,88,111,19,17,6,8,3,7,2,1
050,23,001,Maine,Androscoggin County,2,3,6616,3426,3190,2989,2810,265,222,18,13,29,30,1,1,124,114,3108,2923,329,284,58,45,56,55,3,4,3330,3113,2911,2741,261,221,18,11,29,30,0,0,111,110,3019,2850,319,282,51,39,53,55,2,3,96,77,78,69,4,1,0,2,0,0,1,1,13,4,89,73,10,2,7,6,3,0,1,1
050,23,001,Maine,Androscoggin County,2,4,7276,3831,3445,3442,3088,231,204,19,19,40,36,0,2,99,96,3538,3181,270,250,51,53,71,57,4,3,3740,3365,3365,3023,224,199,17,19,40,36,0,0,94,88,3456,3108,260,242,47,49,71,56,4,1,91,80,77,65,7,5,2,0,0,0,0,2,5,8,82,73,10,8,4,4,0,1,0,2
