SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,33,001,New Hampshire,Belknap County,1,0,60088,29480,30608,28565,29663,165,125,75,60,332,383,7,7,336,370,28893,30026,248,228,260,250,416,475,16,16,29125,30239,28257,29342,153,114,67,53,327,379,3,6,318,345,28568,29680,229,201,240,233,409,470,11,14,355,369,308,321,12,11,8,7,5,4,4,1,18,25,325,346,19,27,20,17,7,5,5,2
050,33,001,New Hampshire,Belknap County,1,1,3047,1499,1548,1419,1443,16,22,2,3,15,31,2,0,45,49,1464,1492,34,50,13,13,33,44,2,1,1446,1501,1368,1406,16,21,2,2,15,31,0,0,45,41,1413,1447,34,44,13,11,33,43,0,0,53,47,51,37,0,1,0,1,0,0,2,0,0,8,51,45,0,6,0,2,0,1,2,1
050,33,001,New Hampshire,Belknap County,1,2,3296,1678,1618,1583,1520,19,19,1,1,24,24,0,1,51,53,1634,1573,39,39,11,19,46,40,0,1,1633,1586,1545,1498,17,16,0,0,24,24,0,0,47,48,1592,1546,36,32,8,17,45,40,0,0,45,32,38,22,2,3,1,1,0,0,0,1,4,5,42,27,3,7,3,2,1,0,0,1
050,33,001,New Hampshire,Belknap County,1,3,3688,1897,1791,1814,1707,10,12,6,1,27,31,1,1,39,39,1853,1745,25,28,20,17,38,42,1,2,1846,1755,1777,1675,6,11,3,1,25,29,1,1,34,38,1811,1712,19,26,14,17,36,40,1,2,51,36,37,32,4,1,3,0,2,2,0,0,5,1,42,33,6,2,6,0,2,2,0,0
050,33,001,New Hampshire,Belknap County,1,4,3742,1959,1783,1874,1693,9,12,1,10,47,28,0,1,28,39,1902,1732,13,23,19,24,54,44,0,2,1936,1749,1854,1665,9,12,0,7,46,26,0,1,27,38,1881,1703,13,22,17,20,53,42,0,2,23,34,20,28,0,0,1,3,1,2,0,0,1,1,21,29,0,1,2,4,1,2,0,0
050,33,001,New Hampshire,Belknap County,1,5,2715,1398,1317,1344,1264,9,5,4,5,26,20,1,0,14,23,1357,1287,12,12,13,18,30,23,1,0,1374,1292,1322,1243,9,4,3,5,26,20,0,0,14,20,1335,1263,12,9,12,17,30,23,0,0,24,25,22,21,0,1,1,0,0,0,1,0,0,3,22,24,0,3,1,1,0,0,1,0
050,33,001,New Hampshire,Belknap County,1,6,3139,1516,1623,1441,1565,16,9,11,5,34,27,0,0,14,17,1454,1582,19,11,20,14,36,32,2,1,1491,1599,1419,1542,16,9,9,4,34,27,0,0,13,17,1431,1559,18,11,17,13,36,32,2,1,25,24,22,23,0,0,2,1,0,0,0,0,1,0,23,23,1,0,3,1,0,0,0,0
050,33,001,New Hampshire,Belknap County,1,7,3050,1489,1561,1433,1500,16,8,2,1,23,35,2,0,13,17,1446,1517,18,10,11,13,24,39,3,0,1465,1539,1410,1479,15,8,2,1,23,35,2,0,13,16,1423,1495,17,9,11,12,24,39,3,0,24,22,23,21,1,0,0,0,0,0,0,0,0,1,23,22,1,1,0,1,0,0,0,0
050,33,001,New Hampshire,Belknap County,1,8,3548,1712,1836,1664,1771,12,11,3,3,20,35,1,1,12,15,1676,1786,14,12,14,12,20,41,1,1,1687,1810,1643,1749,11,8,3,2,18,35,0,1,12,15,1655,1764,13,9,14,11,18,41,0,1,25,26,21,22,1,3,0,1,2,0,1,0,0,0,21,22,1,3,0,1,2,0,1,0
050,33,001,New Hampshire,Belknap County,1,9,4115,2022,2093,1943,2028,17,5,6,8,32,41,0,0,24,11,1966,2039,20,5,21,15,39,45,1,1,2013,2067,1934,2004,17,4,6,8,32,41,0,0,24,10,1957,2014,20,4,21,14,39,45,1,1,9,26,9,24,0,1,0,0,0,0,0,0,0,1,9,25,0,1,0,1,0,0,0,0
