SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,26,001,Michigan,Alcona County,1,0,10942,5555,5387,5469,5279,5,8,35,32,5,20,1,0,40,48,5509,5327,11,12,66,68,10,28,1,1,5497,5321,5413,5216,5,8,33,29,5,20,1,0,40,48,5453,5264,11,12,64,65,10,28,1,1,58,66,56,63,0,0,2,3,0,0,0,0,0,0,56,63,0,0,2,3,0,0,0,0
050,26,001,Michigan,Alcona County,1,1,331,176,155,173,151,0,0,1,2,0,0,0,0,2,2,175,153,1,2,2,2,0,0,0,0,170,149,167,146,0,0,1,1,0,0,0,0,2,2,169,148,1,2,2,1,0,0,0,0,6,6,6,5,0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0
050,26,001,Michigan,Alcona County,1,2,392,217,175,210,169,0,1,3,1,1,1,0,0,3,3,213,172,1,1,4,3,2,2,0,0,213,167,206,161,0,1,3,1,1,1,0,0,3,3,209,164,1,1,4,3,2,2,0,0,4,8,4,8,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,3,503,250,253,242,241,0,2,3,3,0,0,0,0,5,7,247,248,0,2,7,6,1,4,0,0,243,243,236,232,0,2,2,2,0,0,0,0,5,7,241,239,0,2,6,5,1,4,0,0,7,10,6,9,0,0,1,1,0,0,0,0,0,0,6,9,0,0,1,1,0,0,0,0
050,26,001,Michigan,Alcona County,1,4,571,292,279,279,273,2,0,3,2,0,0,0,0,8,4,287,277,3,0,8,4,2,2,0,0,289,273,276,268,2,0,3,1,0,0,0,0,8,4,284,272,3,0,8,3,2,2,0,0,3,6,3,5,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,1,0,0,0,0
050,26,001,Michigan,Alcona County,1,5,304,160,144,157,141,0,1,2,1,1,0,0,0,0,1,157,142,0,1,2,2,1,0,0,0,155,143,152,140,0,1,2,1,1,0,0,0,0,1,152,141,0,1,2,2,1,0,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,6,324,176,148,173,146,1,0,1,0,1,2,0,0,0,0,173,146,1,0,1,0,1,2,0,0,173,147,170,145,1,0,1,0,1,2,0,0,0,0,170,145,1,0,1,0,1,2,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,7,327,160,167,157,163,1,1,0,1,0,0,0,0,2,2,159,165,2,1,1,3,0,0,0,0,159,166,156,162,1,1,0,1,0,0,0,0,2,2,158,164,2,1,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,8,405,190,215,187,206,0,0,1,4,1,2,0,0,1,3,188,209,1,0,1,6,1,3,0,0,188,207,185,198,0,0,1,4,1,2,0,0,1,3,186,201,1,0,1,6,1,3,0,0,2,8,2,8,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,9,573,311,262,307,250,0,0,3,5,0,5,0,0,1,2,308,252,0,0,4,7,1,5,0,0,306,259,302,247,0,0,3,5,0,5,0,0,1,2,303,249,0,0,4,7,1,5,0,0,5,3,5,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,10,782,385,397,377,387,0,0,5,2,1,2,0,0,2,6,379,393,0,0,7,7,1,2,0,1,380,394,372,384,0,0,5,2,1,2,0,0,2,6,374,390,0,0,7,7,1,2,0,1,5,3,5,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,11,924,467,457,459,450,0,2,1,3,0,0,1,0,6,2,465,452,0,2,7,5,0,0,1,0,466,454,458,447,0,2,1,3,0,0,1,0,6,2,464,449,0,2,7,5,0,0,1,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,12,973,488,485,481,479,0,0,4,3,0,2,0,0,3,1,484,480,1,0,7,4,0,2,0,0,482,481,476,475,0,0,3,3,0,2,0,0,3,1,479,476,1,0,6,4,0,2,0,0,6,4,5,4,0,0,1,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,13,1092,554,538,548,530,1,0,3,1,0,2,0,0,2,5,550,535,1,1,5,5,0,2,0,0,552,533,546,525,1,0,3,1,0,2,0,0,2,5,548,530,1,1,5,5,0,2,0,0,2,5,2,5,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,14,1130,575,555,574,548,0,0,1,3,0,3,0,0,0,1,574,549,0,1,1,4,0,3,0,0,573,553,572,546,0,0,1,3,0,3,0,0,0,1,572,547,0,1,1,4,0,3,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,15,925,499,426,496,421,0,0,1,1,0,1,0,0,2,3,498,424,0,0,3,4,0,1,0,0,495,424,492,419,0,0,1,1,0,1,0,0,2,3,494,422,0,0,3,4,0,1,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,16,634,316,318,310,315,0,1,3,0,0,0,0,0,3,2,313,317,0,1,6,2,0,0,0,0,315,317,309,314,0,1,3,0,0,0,0,0,3,2,312,316,0,1,6,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
